Time;Year;Country Name;Country Code;Population, total [SP.POP.TOTL];CO2 emissions (kt) [EN.ATM.CO2E.KT];Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE];Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE];Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) [EN.ATM.GHGO.KT.CE];Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC];Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS];Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS];Energy imports, net (% of energy use) [EG.IMP.CONS.ZS];Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS];Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS];Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS];Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS];Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS];Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD];Manufacturing, value added (constant 2015 US$) [NV.IND.MANF.KD];Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE];Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]
1975;1975;France;FRA;53715733;;;;10541,22656;3267,645999;88,25590468;;73,58811308;0,378857383;57,33698879;9,848133237;32,43602059;;17686,73254;1,35E+11;3071,017126;6,045883215
1975;1975;Belgium;BEL;9800700;;;;643,8106406;3887,477425;95,91331199;;81,17921939;0,203341663;82,72820814;16,62011858;0,448331618;;18865,12722;;4317,935658;4,214888743
1975;1975;Netherlands;NLD;13666335;;;;16272,17275;3773,140348;98,24400956;;-20,85976142;1,479966088;92,37347488;6,146559033;0;;21050,13622;37848022155;4318,726564;1,472558217
1975;1975;Sweden;SWE;8192437;;;;1483,159367;9051,519102;69,96263507;;70,02815423;0,384844572;13,19023736;14,8587248;71,56619327;;25568,53092;;4764,499013;20,69262261
1975;1975;Switzerland;CHE;6338632;;;;1166,896196;4878,812968;75,18150929;;70,31407136;0;4,05546895;18,05765606;77,88687499;;;;2710,772924;28,52546345
1975;1975;Japan;JPN;111573000;;;;-6735,373687;4041,918744;95,47404891;;90,19156932;0,021135125;77,04070202;5,310200234;17,62796262;;14063,60327;;2734,123265;4,525951418
1976;1976;Canada;CAN;23449808;;;;-37536,09688;11075,95423;83,3043131;;-6,486679353;0,237073302;22,60344712;5,839983905;71,31949567;;20694,10898;;7293,698609;13,45982811
1976;1976;United States;USA;218035000;;;;112316,15;8968,775655;93,00561548;;19,69441897;0,191631544;76,93078018;9,474933313;13,40265496;;24326,13558;;8100,562222;4,569871417
1976;1976;United Kingdom;GBR;56211968;;;;12215,83141;4587,688515;95,21395111;;37,73410531;0;85,52632057;13,13394774;1,33973169;;17258,77273;;3616,975534;4,790236432
1976;1976;Italy;ITA;55718260;;;;5265,656213;2710,457936;93,92315188;;82,7663496;2,356242621;71,07545292;2,353152062;24,2151524;;16073,42897;;2264,057187;5,176592024
1976;1976;Germany;DEU;78336950;;;;20329,60938;5146,932578;96,33004313;;48,49520239;0,296851382;88,86771723;7,007923156;3,286009544;;17789,59917;;4314,581637;2,629479079
1976;1976;France;FRA;53966558;;;;11623,64844;3611,495845;90,16324604;;76,65612789;0,289521367;68,46160199;7,664543834;23,58433281;;18251,82879;1,44E+11;3263,000523;4,730141118
1976;1976;Belgium;BEL;9818227;;;;843,3140781;4247,40638;94,81361983;;80,87422465;0,120960041;78,35027481;21,29745559;0,231309552;;19904,18426;;4622,233118;5,783809109
1976;1976;Netherlands;NLD;13774037;;;;17444,59941;4009,790303;98,21283959;;-16,8158212;1,499905396;91,83996422;6,660130382;0;;22143,63252;40138964343;4742,981742;1,544568969
1976;1976;Sweden;SWE;8222286;;;;1556,915054;9751,545981;70,29042007;;70,69110417;0,409760163;17,60926938;18,51213075;63,46883971;;25691,37953;;5151,251367;20,97370321
1976;1976;Switzerland;CHE;6302504;;;;816,8612051;5082,900384;75,61733226;;74,69104351;0;6,101751275;21,99900244;71,89924629;;;;2821,012886;24,18744792
1976;1976;Japan;JPN;112775000;;;;-3873,569;4310,467746;94,9935628;;89,83222625;0,039448354;76,75130969;6,721802316;16,48743964;;14578,64282;;2876,698816;5,00643751
1977;1977;Canada;CAN;23725843;;;;-54865,45469;11797,26259;82,51579585;;-7,710029907;0,331960773;23,12484085;8,180084838;68,36311354;;20783,19175;;7431,439886;14,6990773
1977;1977;United States;USA;220239000;;;;129745,0938;9337,724018;92,42230273;;20,80850953;0,191986039;77,92290457;11,91227232;9,972837066;;25008,59635;;8285,570898;5,025204081
1977;1977;United Kingdom;GBR;56193492;;;;13515,06828;4668,423169;94,81714574;;25,49606676;0;84,42089944;14,20544493;1,373655628;;17336,29719;;3695,383871;5,18285426
1977;1977;Italy;ITA;55955411;;;;6331,765656;2776,818135;93,02772925;;83,05379768;2,261181634;64,68555632;2,052037488;31,00122455;;16510,26271;;2204,179807;6,024339067
1977;1977;Germany;DEU;78159814;;;;21731,25;5285,260786;95,20012737;;48,85995788;0,286584063;85,38327391;9,6830676;4,124604216;;18402,22334;;4336,087404;3,618264774
1977;1977;France;FRA;54221988;;;;12363,11719;3707,425851;88,03519204;;74,24801311;0,293181278;54,8990259;8,546448087;36,26134474;;18673,39756;1,49E+11;3187,192473;6,53714283
1977;1977;Belgium;BEL;9830358;;;;763,1362891;4404,824321;93,22929388;;79,92207669;0,527000789;73,52194414;25,47312723;0,477927841;;19897,44155;;4589,52441;6,938987604
1977;1977;Netherlands;NLD;13856185;;;;17302,475;4077,457107;98,05011991;;-20,33665639;1,487492708;92,14734241;6,365164877;0;;22304,56962;39906789895;4560,27312;1,530113603
